Ad tent-qeblent?
Ad ten-tseɛfemt?
Ad tent-seɛfent?
Ad ten-tseggmeḍ?
Ad ten-tseggmem?
Ad tent-seggmen?
Ad tent-snegren.
Ad tent-sseɣlin.
Ad tent-tamnemt?
Ad tent-teddmeḍ?
Ad tent-teddmem?
Ad tent-tleqqem?
Ad tent-tqebleḍ?
Ad tent-tqeblem?
Ad tent-tseɛfeḍ?
Ad tent-tseɛfem?
Ad tent-tseggem?
Ad tent-twanseḍ?
Ad tent-twansem?
Ad ten-twansemt?
Ad tent-wansent?
Ad ten-yesseɣli.
Adrim d agellid.
Aḍris-nni yelha.
Adulaṛ d adulaṛ.
Aɛdaw ur t-sɛiɣ.
Aɛeqqa n yirden.
Aɛrak uhu sysen.
Afaylu n weɣbaṛ.
Afeggag n tansa.
Afus-is d isixi.
Aɣbalu n tudert.
Agdud, d nekkni.
Aɣeggad izerreb.
Agelmim aberkan.
AƔerbaz amezwaru
Aɣerbaz igerrez!
Aɣer-d i Smaɛil.
Agezdu n Bgayet.
Aɣ-iyi-d abiran.
Aglim-iw yekkaw.
Agmam-a d ukriḍ.
Aɣr ad tissineḍ.
Agrud-nni yumes.
Ah, ziɣ d kenwi.
Aha , ul mliceɣ.
Aha ddu-d yid-i.
Aha! Ffeɣ akkin!
Aha, belleɛ-itt!
Aha, eḍs-d cwiṭ.
Aha, ffeɣ akkin!
Aha, hḍeṛ-iyi-d.
Aha, ṭṭef imi-k!
Ahat ad d-tuɣal?
Ahat ad d-yuɣal?
Ahat d imidiwen.
Ahat gan asehwu?
Ahat iga asehwu?
Ahat la gganent.
Ahat llan uḍnen.
Ahat sɛiɣ lḥeqq.
Ahat tɛejbemt-t.
Ahat temmendfeḍ?
Ahat tga asehwu?
Ahat ttwacceḍeɣ.
Ahat wa d Faḍil.
Ahat yella yuden
Ahat yemmut Tom.
Ahmed d aɛumani.
Ahmed d Amalizi.
Aḥsen d aɛeẓẓug.
Ahya a tamakurt!
Akal yessusf-it.
Akka ara tilliḍ.
Akka ara tillim.
Akka ay d arway!
Akka ay d-yenna.
Akka ay rebḥent.
Akka i d ddunit.
Akka i d-tennam.
Akka i d-tenniḍ.
Akka i textareḍ.
Akka kan, dayen.
Akka, ad lemden!
Akken ay neffeɣ.
Akken d aḍaɛfan.
Akken d aqelleq!
Akken d aqemmer!
Akken d aselkim!
Akken d aselkim.
Akken i d-teḍra.
Akken i tteddun.
Akken kan ccfeɣ.
Akken kan tebda.
Akken teẓram ya.
Akken yettimɣur.
Alel-iyi imir-a.
Aley ɣer ufurgu.
Aley isunan-nni.
Ali ɣer tqacuct.
Allan d amedyaz.
Allen d amedyaz.
Alyemt isunan-a.
Ama ahat cceḍeɣ.
Aman d ixataren.
Aman, ttxil-wet.
Amayas d atergi.
Amcic yif aṭas !
Amdan ad yemmet.
Amdan d aɣellaḍ.
Amdegdal-a nnek?
Amdegdal-a nnem?
Ameɣrad d imifeḍ
Amek aken tura ?
Amek ara as-neg?
Amek ara ɛelmen?
Amek ara k-ẓreɣ?
Amek ara s-cfun?
Amek ara t-afen?
Amek ara t-ččeɣ?
Amek ara tecfuḍ?
Amek ay d-tufid?
Amek ay gan aya?
Amek ay iga aya?
Amek ay iga Tom?
Amek ay selkent?
Amek ay tettett!
Amek ay teẓramt?
Amek ay tga aya?
Amek ay t-itteg?
Amek ay tselked?
Amek ay tselkem?
Amek ay t-ttgen?
Amek ay txeṣred?
Amek ay txeṣrem?
Amek ay xeṣrent?
Amek ay yettaru?
Amek i as-isema?
Amek i d-tenniḍ?
Amek i k-qqaṛen?
Amek i m-qqaren?
Amek i m-qqaṛen?
Amek i s-qqaṛen?
Amek i ten-rran?
Amek i ten-ufan?
Amek i tettiliḍ?
Amek i tettilim?
Amek i t-terram?
Amek i t-terriḍ?
Amek i tt-nudan?
Amek i tt-rrant?
Amek i tt-ssnen?
Amek i tt-terra?
Amek i tt-walan?
Amek i tt-yerra?
Amek tella Mary?
Amek tettilli-m?
Amek yemmug Tom?
Amen s yiman-ik.
Amen s yiman-im.
Amen-iyi a Sami.
Amihi d addayan.
Amihi ur yelli ?
Amkan-a d uɣris.
Amnenniḍ amenzu.
Amnet neɣ qimet.
Amuddu igerrzen!
Amulli igerrzen!
Amulli igerrzen.
Amur-nnek, kcem!
Amxaṭer iɣellet.
Anda ara k-ṛjuɣ?
Anda ara ncucef?
Anda ara t-afeɣ?
Anda ara tilimt?
Anda ara tṛuḥeḍ?
Anda ara tṛuḥem?
Anda ay gan aya?
Anda ay iga aya?
Anda ay ixeddem?
Anda ay muhlent?
Anda ay qqiment?
Anda ay sɣemren?
Anda ay tcennuḍ?
Anda ay teččamt?
Anda ay teddrem?
Anda ay teffred?
Anda ay teffrem?
Anda ay tellamt?
Anda ay t-ffren?
Anda ay tga aya?
Anda ay t-ǧǧant?
Anda ay tlulemt?
Anda ay tmuhlem?
Anda ay t-teǧǧa?
Anda ay ttetteɣ?
Anda ay t-teẓra?
Anda ay tt-ǧǧan?
Anda ay tt-ẓran?
Anda ay t-yeǧǧa?
Anda ay t-yeẓra?
Anda ay tzedɣed?
Anda ay tzedɣeḍ?
Anda ay tzedɣem?
Anda ay tzerwem?
Anda ay t-ẓrant?
Anda ay xeddmeɣ?
Anda ay zerwent?
Anda i ten-ǧǧiɣ?
Anda i ten-ttun?
Anda i ten-tufa?
Anda i ten-ufan?
Anda i ten-yufa?
Anda i teqqareḍ?
Anda i tettaruḍ?
Anda i tettarum?
Anda i tettiliḍ?
Anda i tettilim?
Anda i tewwḍemt?
Anda i trewlemt?
Anda i t-tettuḍ?
Anda i t-tettum?
Anda i tt-tettu?
Anda i tt-ttunt?
Anda i tt-tufam?
Anda i tt-tufiḍ?
Anda i t-tufamt?
Anda i tt-ufant?
Anda i tt-yettu?
Anda i yetturar?
Anda ttmahalent?
Anda tuɣ telliḍ?
Anda yella baba?
Anda yella Tony?
Anda yella waya?
Anda-t imru-inu?
Anda-t mmi-twen?
Anda-t ugeffur ?
Anda-t uɣerbaz ?
Anda-t uɣmis-iw?
Anda-t umur-iw ?
Anda-t uqjun-ik?
Anda-t uxxam-ik?
Anda-tent tiyaḍ?
Anda-tt nanna-k?
Anda-tt nanna-m?
Anda-tt setti-k?
Anda-tt setti-m?
Anda-tt teɣdemt?
Anda-tt temrart?
Anda-tt tewwurt?
Anda-tt tsarut ?
Anda-tt xalti-k?
Anda-tt xalti-m?
Anda-tt yelli-k?
Anda-tt yelli-m?
Anda-tt yemma-k?
Anef allen-nnek.
Anef-as ad truḥ!
Anef-as ɣur-ek !
Anida-tt tsarut?
Aniɣer i nteddu?
Ansa ara ɛeddiɣ?
Ansa ara ffɣent?
Ansa ara yeffeɣ?
Ansa i d-tekkiḍ?
Ansa i trewlemt?
Ansi i d-kkant ?
Ansi i d-usant ?
Ansuf s tuɣalin.
Anta ara fernen?
Anta ara yeddun?
Anta i d Dihya ?
Anta i d tidett?
Anta i d-yecfan?
Anta i d-yerran?
Anta i d-yeslan?
Anta i iɛeggḍen?
Anta i ikellxen?
Anta i t-yesɛan?
Anta i yemmuten?
Anta i yeqqimen?
Anta-tt yemma-k?
Anwa ad iruḥen ?
Anwa ara cukkeɣ?
Anwa ara ferneɣ?
Anwa ara fernen?
Anwa ara iruḥen?
Anwa ara lummeɣ?
Anwa ara tamneḍ?
Anwa ara tamnem?
Anwa ara textir?
Anwa ara teẓṛeḍ?
Anwa ara teẓṛem?
Anwa ara tissin?
Anwa ara yebdun?
Anwa ara yeddun?
Anwa ay d-yusan?
Anwa ay ibeṭlen?
Anwa ay k-iwten?
Anwa ay teẓramt?
Anwa ay tt-ilan?
Anwa i d bab-is?
Anwa i d-yecfan?
Anwa i d-yeṛḍen?
Anwa i d-yerran?
Anwa i d-yeslan?
Anwa i ibeṭṭlen?
Anwa i iɛeggḍen?
Anwa i ikellxen?
Anwa i kem-ilan?
Anwa i tessnemt?
Anwa i t-yebnan?
Anwa i t-yerẓan?
Anwa i t-yesɛan?
Anwa i yebedden?
Anwa i yemmuten?
Anwa i yeqqimen?
Anwa umi teɣram?
Anwa umi teɣrid?
Anwa umi teɣriḍ?
Anwa wa? D nekk.
Anwa-t wuggid-a?
Aqcic yethedden.
Aqel-aɣ nɛeṭṭel.
Aqel-ik tɛeṭleḍ.
Aqjun yesseglef.
Aqjun-iw iḥzen .
Aqjun-nneɣ iruḥ.
Aqla-kem terwiḍ.
Aql-aneɣ nemdel.
Aql-aneɣ nḥuder.
Aqli deg idurar.
Aql-i deg lḥebs.
Aqli deg London.
Aql-i deg tmurt.
Aql-i deg uxxam.
Aql-i di Berlin.
Aql-i di Boston.
Aql-i mmektiɣ-d.
Aql-i ttenhaṛeɣ.
Aql-ik d aɛeẓri.
Aql-ik d ilelli?
Aqli-k deg umuɣ.
Aqli-k temmuteḍ?
Aql-ik testufad?
Aql-ikem tezhid?
Aql-ikem tfazeḍ.
Aql-ikem weḥd-m?
Aql-iken tezham?
Aql-iken tuḍnem!
Aql-iyi da tura.
Aql-iyi ḍḍfeɣ-t.
Aql-iyi gerrzeɣ.
Aql-iyi qeyyleɣ.
Aql-iyi sufella.
Aql-iyi uwḍeɣ-d.
Aqrab-iw d ilem.
Ar ass n lexmis!
Ar timlilit ihi.
Ar ttiri imucca.
Argaz i d-yusan.
Arǧu ! Aqliyin !
Aṛǧut deg beṛṛa.
Aru akken iwata.
Aru taspenyulit.
Aruku-a n yemma.
Arumt-as imir-a.
Aṛwaḥ ar zdaxel.
Asaru-a d aqbur.
Asatal d axatar.
As-d ad nqeṣṣer.
As-d ad tɛawned.
As-d ad tɛawneḍ.
As-d ɣer baba-s.
As-d ɣer wexxam!
As-d ɣer wexxam.
As-d yid-i tura.
Asebdad-a n Tom.
Asefk-a i kenwi.
Asefru issejjay.
Aseggas ameggaz!
Aseggas ameggaz.
Aseggas fell-as.
Aseggas ifulkin.
Asemmiḍ yebda-d.
Aset-d ad nebdu.
Aset-d ad t-neg!
Asɣar yettifliw.
Aṣɣaṛ yettifliw.
Asif nni asusam.
Asif-a ur yumis.
Asinzi inna inu.
Asiwel aneggaru!
Ass-a ay d-usan?
Ass-a d aɣemɣum.
Ass-a d asemmiḍ!
Ass-a d asidyas.
Ass-a d asimwas.
Ass-a d asimwas?
Ass-a d ass-inu.
Ass-a d laṛebɛa.
Assa d letnayen.
Ass-a deg-s aḍu.
Ass-a i d-tusam?
Ass-a i d-tusiḍ?
Ass-a i d-usant.
Ass-a i d-usant?
Assa i t-ḥwaǧeɣ.
Assa illa osmmid
Ass-a ur neqqar.
Ass-a, ad ffɣeɣ.
Ass-a, beṛka-aɣ!
Ass-a, d asigna.
Ass-a, d asinas.
Ass-a, d tafukt.
Ass-a, d ttlata.
Ass-a, ffunzreɣ.
Ass-a, liɣ akud.
Ass-a, ulac aḍu.
Ass-nni axeṣṣaṛ.
Aṣurdi ur t-liɣ.
Ata ddaw ukursi.
Ata deg terbaɛt.
Ata ɣef lbal-iw.
Atan ad n-yaweḍ.
Atan ccwi ass-a?
Atan deg Bgayet.
Atan deg Boston.
Atan deg tbanka.
Atan deg tkanna.
Atan deg tmeɣra.
Atan deg tnarit.
Atan deg ucanṭi.
Atan deg ugaṛaj.
Atan deg umahil.
Atan deg umeẓlu.
Atan deg unafag.
Atan deg unarem.
Atan deg usafag.
Atan deg usakal.
Atan deg usalay.
Atan deg usanay.
Atan deg usensu.
Atan deg webrid.
Atan deg wexxam.
Atan deg wexxam?
Atan deg wulzuz.
Atan ɣef tdabut.
Atan la ilemmed.
Atan ṣṣerf-nnek.
Atan ṣṣerf-nnem.
Atan ṣṣerf-nnes.
Atan ṣṣerf-nwen.
Atan uydi-nwent.
Atan wesga-nnek.
Atan wesga-nnem.
Atan weydi-nnek.
Atan weydi-nnem.
Atan yebded Tom.
Atan yeḍḍef-itt.
Aṭas ara inadin.
Aṭas ara ternud?
Aṭas ara ternum?
Aṭas ara yebɣun.
Aṭas ara yecfun.
Aṭas ara yecnun.
Aṭas ara yeddun.
Aṭas i yemmuten.
Atenti ad ddunt.
Atenti ḍḍfent-t.
Atenti deg wusu.
Atnan deg ubrid.
Atni deg Bgayet.
Atni deg Boston.
Atni deg tbanka.
Atni deg tkanna.
Atni deg tmeɣra.
Atni deg tnarit.
Atni deg ucanṭi.
Atni deg ugaṛaj.
Atni deg umahil.
Atni deg umeẓlu.
Atni deg umgaru.
Atni deg unafag.
Atni deg unarem.
Atni deg usafag.
Atni deg usakal.
Atni deg usalay.
Atni deg usanay.
Atni deg usensu.
Atni deg wexxam.
Atni deg wulzuz.
Atni la lemmden.
Atni la rewwlen.
Atni la zerrwen.
Attan d rray-ik.
Attan d ttmenya.
Attan deg beṛṛa.
Attan deg lḥaṛa.
Attan deg teẓgi.
Attan deg ubduz.
Attan deg ubrid.
Attan deg udrar.
Attan deg ufrag.
Attan deg ugnir.
Attan deg unrar.
Attan deg uxxam.
Attan deg wurti.
Aṭṭan n tnefsit.
Attan s uɛebbuḍ.
Attan t macahut.
Attan teḍḍef-it.
Attan temzuxxut!
Attan timsujjit.
Attaya temsulta.
Aw d tabbehlelt!
Awal-agi yecmet.
Awal-agi yesgan.
Awal-is, nettat.
Awen iḍlisen nnu
Awey-d imru-nni.
Awi ayen tebɣid.
Awi ayen tebɣiḍ.
Awi ayen teɣsed.
Awi kan wayla-w.
Awi kra i ticki.
Awi Lwiza yid-k.
Awi Lwiza yid-m.
Awi-asen-ten-id.
Awi-asent-tt-id.
Awi-d afus-nnem.
Awid day yedder.
Awi-d iḍan-nnek.
Awi-d iḍan-nnem.
Awi-d imedyaten.
Awi-d taqemmuct.
Awi-iyi s axxam.
Awi-iyi-d aɣmis.
Awimt-aɣ-ten-id.
Awimt-asen-t-id.
Awimt-as-ten-id.
Awimt-d imsujji.
Awimt-iyi-tt-id.
Awi-t ma tṛuḥeḍ.
Awit ṭṭabla-agi.
Awit wa yid-wen.
Awit-aɣ yid-wen.
Awit-aɣ-tent-id.
Awit-asent-t-id.
Awit-asen-tt-id.
Awit-as-tent-id.
Awit-d lemɛawna.
Awi-t-id ɣer da.
Awi-t-id imir-a.
Awit-iyi-ten-id.
Awit-tt yid-wen.
Awi-yaɣ-tent-id.
Awi-yas ad yečč.
Awyemt-iyi-t-id.
Awyet-iyi-tt-id.
Ax akeffay-nnek.
Ax cwiṭ n waman.
Axet, ḥulfut-as.
Axxam akk yerɣa.
Axxam d ameẓẓan.
Axxam n yidles .
Axxam-nni yenza.
Ay ahdum yeḍran!
Ay telha ddunit!
Ay tesɛiḍ ẓẓher!
Ay tettsemmiṭed!
Ay tettsemmiṭem!
Ay umareɣ ass-a!
Aya ad aɣ-iḍurr.
Aya akk d tidet.
Aya d afran-inu.
Aya d tanɣimant!
Aya d taraɣdemt.
Aya i kenwi kan.
Aya iceɣɣeb-iyi.
Aya ur aɣ-yerzi.
Aya ur d amaynu.
Aya ur d-iḍeṛṛu.
Aya yeḍra ass-a.
Ayaw ad nɛerḍet!
Aydi yeɣs aksum.
Aydi-inu meɣɣer.
Aydi-nni yeḍḍes.
Ayen ara truḥeḍ?
Ayen i ɣ-yeḍṛan.
Ayɣer a tettruḍ?
Ayɣer ay terfiḍ?
Ayɣer i ɣ-ṣṣṛen?
Ayɣer i k-ṣṣṛen?
Ayɣer i t-ṣṣṛen?
Ayɣer i tugadeḍ?
Ayɣer i tugadem?
Ayweqt i ṛuḥent?
Ayyih, ẓṛiɣ Tom.
Azekka ad d-yas.
Azekka ad nwali.
Azekka d aẓekka.
Azekka d lficṭa.
Aẓet akkin cwiṭ.
Azgen n useggas.
Azul a Dda crif.
Azul a tasa inu.
Azul a tiqcicin.
Azul ay amdakel.
Azul ay amelḥan.
Azul ay aselmad!
Azul fell-akent.
Azul fell-asent.
Azul fell-awent.
Azul seg Brizil!
Azul seg Fṛansa!
Azul, isem-nnek?
Azul, isem-nnem?
Azzel ɣer uxxam.
Baba yettkeyyif.
Babaɣayu yemmut.
Balak zg tggurt.
Batta yexs Uyuc.
Bdan ttmeslayen.
Bḍan-aɣ-tent-id.
Bḍan-akent-t-id.
Bḍan-ak-tent-id.
Bḍan-am-tent-id.
Bḍan-asent-t-id.
Bḍan-asen-tt-id.
Bḍan-as-tent-id.
Bḍan-awen-tt-id.
Bdan-d adiwenni.
Bḍan-iyi-ten-id.
Bḍant-aɣ-ten-id.
Bḍant-ak-ten-id.
Bḍant-am-ten-id.
Bḍant-asen-t-id.
Bḍant-as-ten-id.
Bḍant-awen-t-id.
Bḍant-iyi-tt-id.
Bḍumt-aɣ-ten-id.
Bḍumt-asen-t-id.
Bḍumt-as-ten-id.
Bḍumt-iyi-tt-id.
Bḍut-aɣ-tent-id.
Bḍut-asent-t-id.
Bḍut-asen-tt-id.
Bḍut-as-tent-id.
Bḍut-iyi-ten-id.
Bḍu-yaɣ-tent-id.
Bḍu-yasent-t-id.
Bḍu-yasen-tt-id.
Bḍu-yas-tent-id.
Beddeɣ-as i Tom.
Beddel lqecc-ik!
Beddlent ilugan.
Beddlent kullec.
Beddlent temsal.
Bedduɣ gezzuɣ-t.
Beɛɛdemt fell-i!
Beɛɛdemt fell-i.
Beṛka i tzuxxeḍ.
Beṛka imeṭṭawen!
Beṛka imeṭṭawen.
Beṛka taswiɛt-a.
Beṛka-k abessel.
Beṛka-k aɛeyyaḍ.
Beṛka-k aḥerrek!
Beṛka-k ajexxeṛ.
Beṛka-k amennuɣ.
Beṛka-k aqelleq.
Beṛka-k aqeṣṣeṛ.
Berka-k aseglef!
Beṛka-kent ccna.
Beṛkamt ameslay.
Beṛkamt anneẓmi.
Beṛkamt azehher.
Berkat asṭerṭer!
Beṛkat atqelleq.
Berkat tikerkas.
Bezzaf meẓẓiyeḍ.
Bezzaf meẓẓiyet.
Bezzaf teqqareḍ.
Bezzaf-as i Tom.
Bɣan ad dewwṛen.
Bɣan ad k-ssnen.
Bɣan ad neg aya.
Bɣan ad ssiwlen.
Bɣan ad temmted.
Bɣan ad temmtem.
Bɣan ad tt-ẓren?
Bɣan kra sɣur-i?
Bɣan kra sɣur-k?
Bɣan kra sɣur-m?
Bɣan kra sɣur-s?
Bɣan-k temmuteḍ.
Bɣant ad t-ẓren?
Bɣant takeṛṛust.
Bɣant takeṛṛust?
Bɣant tiririyin.
Bɣant-ken kenwi.
Bɣiɣ ad cceɣ da.
Bɣiɣ ad ččeɣ wa.
Bɣiɣ ad k-ssneɣ.
Bɣiɣ ad n-adfeɣ.
Bɣiɣ ad nseɣ da.
Bɣiɣ ad sgunfuɣ.
Bɣiɣ ad sleɣmuɣ.
Bɣiɣ ad sseḥmuɣ.
Bɣiɣ ad ssunɣeɣ.
Bɣiɣ ad tekkreḍ.
Bɣiɣ ad tekkrem.
Bɣiɣ ad temmteḍ.
Bɣiɣ ad temmtem.
Bɣiɣ ad tezhumt.
Bɣiɣ ad tnehṛeḍ.
Bɣiɣ ad tt-ttuɣ.
Bɣiɣ ad tt-ẓreɣ.
Bɣiɣ ad t-waliɣ.
Bɣiɣ ad txeṣred.
Bɣiɣ ad txeṣreḍ.
Bɣiɣ ayen ẓiden.
Bɣiɣ ayen ziḍen.
Bɣiɣ idammen-ik.
Bɣiɣ idammen-im.
Bɣiɣ ṛṛay-nwent.
Bɣiɣ tasnasɣalt.
Bɣiɣ tin nniḍen.
Bɣiɣ win nniḍen.
Bɣiɣ-t i wass-a.
Bniɣ-asen axxam.
Bniɣ-awen axxam.
Bnin seksu-inek.
Bnin seksu-inem.
Bob yesɛa lḥeqq?
Bran-as-d i Tom.
Brez taxxamt-im.
Briɣ-as i yiwen.
Briɣ-as i yiwet.
Brum-as-d i Tom.
Brut-as-d i Tom.
Bush ur d afaci.
Bxiṛ akk i llan.
Bxir ay tellamt?
Ččan waman aman.
Ccbaḥa tettṛuḥu.
Ccɣel-nsen izad!
Ččiɣ deg usakal.
Ččiɣ isufar-nni.
Ččiɣ takima-nni.
Ččiɣ tikawkawin.
Ččiɣ-tt mkemmda.
Cct! Yeḍḍes Tom!
Ccuṛeɣ d ḍḍlaba.
Cebḥent fell-as?
Cebḥent yessi-k.
Cebḥent yessi-m.
Cečči d anelmad?
Cedhaɣ-kem aṭas.
Cedhaɣ-ken aṭas.
Cennfen fell-as.
Cerken tasiwant.
Cerrqeɣ tawwurt.
Cerrqen tawwurt.
Cewwlen-k widak?
Cewwlen-t widak?
Cfan fell-awent.
Cfant fell-awen.
Cfiɣ fell-akent.
Cfiɣ fell-asent.
Cfiɣ fell-awent.
Cfu, tṛeggmed-d.
Cidd irkasen-ik.
Cikkeɣ ad aḍneɣ.
Cikkeɣ ad aḍnen.
Cikkeɣ ad d-yas.
Cikkeɣ ad naḍen.
Cikkeɣ ad taḍen.
Cikkeɣ ad yaḍen.
Cikkeɣ teccḍemt.
Cikkeɣ telluẓed.
Cikkeɣ telluẓem.
Cikkeɣ wa yelha.
Cikkeɣ ẓran-iyi.
Cmumxen-d meṛṛa.
Cnan yegḍaḍ-nni.
Čṛaq iqejjaṛen .
Cukkeɣ d lekdeb.
Cukkeɣ mecɣuleḍ.
Cukkeɣ telluẓeḍ.
Cukkeɣ telluẓem.
Cukkeɣ ẓran-kem.
D abeddu yelhan.
D abrid ad nruḥ.
D abrid ireglen.
D acu ara namen?
D acu ara taruḍ?
D acu ara tilid?
D acu ara tilim?
D acu ara tinid?
D acu ay ak-giɣ?
D acu ay ak-tga?
D acu ay am-giɣ?
D acu ay am-tga?
D acu ay d-nnan?
D acu ay d-nniɣ?
D acu ay d-tgiḍ?
D acu ay d-ufan?
D acu ay gan da?
D acu ay ɣilent?
D acu ay iga da?
D acu ay tebɣid?
D acu ay tebɣiḍ?
D acu ay tecciḍ?
D acu ay tefhem?
D acu ay tegzam?
D acu ay tegzid?
D acu ay tesɛam?
D acu ay tesɛiḍ?
D acu ay tetteg?
D acu ay teẓrid?
D acu ay tga da?
D acu ay tɣiled?
D acu ay tɣilem?
D acu ay ttaruɣ?
D acu ay turgad?
D acu ay twalad?
D acu ay twalaḍ?
D acu ay twalam?
D acu ay walant?
D acu ay yeḍran?
D acu ay yefhem?
D acu d lḥal-ik?
D acu d Tatoeba?
D acu i d ajdid?
D acu i d-nnant?
D acu i d-tenna?
D acu i d-tufiḍ?
D acu i d-yenna?
D acu i ixeddem?
D acu i k-yuɣen?
D acu i meggren?
D acu i tebɣamt?
D acu i telsamt?
D acu i tesɛamt?
D acu i tessneḍ?
D acu i tessnem?
D acu i teẓẓamt?
D acu i turgamt?
D acu i txeddem?
D acu i t-yuɣen?
D acu i xeddmen?
D acu i yurgant?
D acu k-iceɣben?
D acu k-yeṭṭfen?
D acu n umaynut?
D acu n umtiweg?
D acu ttgeɣ da ?
D acu ur tesɛiḍ?
D acu yuɣen Tom?
D acu zeɛma USB?
D acu-t lhemm-a?
D acu-t lḥess-a?
D acu-t Tatoeba?
D acu-t uselkim?
D acu-t wurar-a?
D acu-tt tẓuri ?
D adebbiw winna?
D afakul yelhan.
D afermas i gan.
D aɣbel inmetti.
D aɣbel-ik wagi?
D aɣbel-im wagi?
D aɣbel-is wagi?
D aɣbel-iw wagi?
D agujil i lliɣ.
D akud ad nebdu.
D akud ad neddu.
D akud n twadda.
D amaynut kečči?
D ameddakel-inu.
D amerẓagu aṭas.
D anebdu imir-a.
D aqjun amecṭuḥ.
D aqziḥ amecṭuḥ.
D argaz icebḥen.
D arraw-im wigi?
D asaru iɛefnen.
D asefk n yemma.
D asegzawal-inu.
D aselkim n Tom.
D aselmad-nwent?
D asemmiḍ ass-a.
D awal i yelhan!
D awal i yelhan.
D awal igerrzen!
D awal igerrzen.
D awalen n diri.
D awaziw i lliɣ.
D axatar usatal.
D axlaf umcic-a.
D axxam icebḥen.
D axxam-iw tura.
D ay tt-tessneḍ?
D aya ay cikkeɣ.
D aya ay d-nniɣ.
D aya ay yeḍran.
D aydi i telliḍ.
D ayen ḥemmlent.
D ayla-nkent wa?
D aẓɣal aṭas da.
D azniq imeɛcaq.
D baba-twen Tom.
D ccrab n lɛali.
D ijdiden kunwi?
D imawlan-ik wi?
D imawlan-im wi?
D iselman daɣen?
